Column name ;Definition;Unit;Group
Date_BBCH10;Date of stage BBCH_10;dd/mm/yyyy;phenology
Date_BBCH30;Date of stage BBCH_30;dd/mm/yyyy;phenology
Date_BBCH55;Date of stage BBCH_55;dd/mm/yyyy;phenology
Date_BBCH65;Date of stage BBCH_65;dd/mm/yyyy;phenology
Date_BBCH71;Date of stage BBCH_71;dd/mm/yyyy;phenology
Date_BBCH90;Date of stage BBCH_90;dd/mm/yyyy;phenology
HarvestDate;Date of harvest;dd/mm/yyyy;phenology
Grain_Biomass;Yield;kg ha-1;yield
Biomass;Biomass at harvest;g m-2;plant biomass
Grain_Number;grains per square metre;m-2;yield
Wt1000_Grain;Weight of 1000 grains;g;yield
